#n err_avu err_avl err_avus err_avls err_aru err_arl err_arus err_arls
480 1.656763e+76 4.821526e+77 3.705435e-01 1.476664e-01 5.954851e-19 1.368158e-20 9.192623e-16 1.029587e-15
490 6.428029e+97 3.291342e+85 2.798380e-01 2.235729e-01 2.345995e-18 3.207073e-24 1.507778e-15 6.104125e-16
500 4.236917e+78 2.045604e+82 2.232333e-01 1.651710e-01 1.246777e-18 1.842233e-22 1.170700e-15 8.092483e-16
510 1.572082e+71 3.654768e+67 2.426202e-01 1.675618e-01 3.356535e-19 8.339310e-20 1.262405e-15 5.840783e-16
520 1.344995e+85 1.833770e+83 2.148468e-01 2.944756e-01 1.241121e-18 5.035377e-22 1.017613e-15 8.195436e-16
530 8.797880e+70 5.529493e+69 5.080093e-01 1.857889e-01 1.280003e-18 2.133018e-24 7.821018e-16 1.260100e-15
540 1.146774e+98 1.268651e+104 1.844917e-01 2.107642e-01 2.721218e-18 3.770385e-20 8.929669e-16 6.408438e-16
550 3.001933e+77 9.373761e+81 3.275690e-01 1.751149e-01 3.993944e-19 6.399558e-25 1.004816e-15 6.229761e-16
560 4.482936e+85 2.736018e+81 1.959703e-01 4.241161e-01 9.229970e-19 1.570948e-20 1.219931e-15 7.150267e-16
570 2.153175e+96 4.659650e+104 2.892644e-01 3.004292e-01 1.129892e-18 6.633370e-21 1.099656e-15 1.316183e-15
580 1.291234e+92 1.329343e+103 2.239497e-01 1.752078e-01 1.347471e-18 2.387716e-19 7.785417e-16 1.128562e-15
590 1.752987e+91 1.707523e+85 1.743656e-01 2.597908e-01 1.681153e-18 1.200005e-21 9.498227e-16 7.206816e-16
600 1.052190e+103 1.132645e+97 2.881982e-01 1.358018e-01 5.150364e-19 1.595105e-20 1.221318e-15 1.089098e-15
610 1.005623e+90 4.541046e+89 1.741925e-01 2.977385e-01 1.092900e-19 8.955827e-20 1.576392e-15 7.766455e-16
620 2.635041e+100 7.306302e+105 2.248414e-01 3.252762e-01 4.816918e-19 1.928829e-22 1.473702e-15 8.292535e-16
630 1.845548e+94 9.113409e+96 2.697974e-01 2.037145e-01 1.007828e-18 9.257120e-25 1.165374e-15 6.835266e-16
